name,code,buy_date,buy_close,ret_1d,ret_5d,ret_20d,value_ratio_60d,value_eok,volume_ratio_60d,high_60,close_to_high60,close_to_day_high,rsi_14,above_ma5,above_ma20,above_ma60,c1_high_break,c2_vol_3x,c3_value_50eok,c4_strength_97,c5_ret_5_25,score_5_strict,score_relaxed,after_1d_max,after_5d_max,after_10d_max,after_20d_max,after_30d_max,after_60d_max
삼성카드,029780,20250609,47500,0.07223476297968401,0.08200455580865595,0.14457831325301207,3.898458141947612,114.267425,3.4663398001384733,48000,0.9895833333333334,0.9895833333333334,80.55555555555556,True,True,True,False,True,True,True,True,4,4,0.010526315789473717,0.06947368421052635,0.06947368421052635,0.08842105263157896,0.22947368421052627,
안랩,053800,20250404,93900,0.20539152759948642,0.17228464419475653,0.2387862796833773,18.27574160799245,1711.13031,15.56242332648375,98700,0.9513677811550152,0.9513677811550152,70.61994609164421,True,True,True,False,True,True,False,True,3,4,0.19275825346112896,0.19275825346112896,0.19275825346112896,0.19275825346112896,0.19275825346112896,
아가방컴퍼니,013990,20250404,6740,0.20788530465949817,0.32938856015779083,0.2716981132075471,19.11067845813017,675.0100564,16.469946868518495,7110,0.9479606188466948,0.9479606188466948,63.9030612244898,True,True,True,False,True,True,False,True,3,4,0.17952522255192882,0.17952522255192882,0.17952522255192882,0.22106824925816015,0.22106824925816015,
평화산업,090080,20250404,1600,0.19850187265917607,0.4925373134328359,0.3029315960912051,9.423555003413053,449.313552,7.714932568726809,1720,0.9302325581395349,0.9302325581395349,71.11574556830031,True,True,True,False,True,True,False,True,3,4,0.125,0.150625,0.21875,0.21875,0.3031250000000001,
에코플라스틱,038110,20250422,3080,0.24696356275303644,0.22222222222222232,0.15355805243445686,36.54372676941992,785.8216212,33.99046215348691,3190,0.9655172413793104,0.9655172413793104,69.4006309148265,True,True,True,False,True,True,False,True,3,4,-0.03409090909090906,0.06493506493506485,0.06493506493506485,0.06493506493506485,0.06493506493506485,
나우IB캐피탈,293580,20250418,1680,0.2688821752265862,0.33864541832669315,0.5384615384615385,21.33810339321187,1904.294364,17.769642658734966,1716,0.9790209790209791,0.9790209790209791,81.42329020332717,True,True,True,False,True,True,True,False,3,4,0.29761904761904767,0.29761904761904767,0.29761904761904767,0.29761904761904767,0.29761904761904767,
현대엘리베이터,017800,20250411,62800,0.0940766550522647,0.07534246575342474,0.13153153153153152,4.656286469813846,390.57204,4.053148272314023,63900,0.9827856025039123,0.9827856025039123,68.24644549763033,True,True,True,False,True,True,True,True,4,4,0.04458598726114649,0.10509554140127397,0.14490445859872603,0.234076433121019,0.234076433121019,
코난테크놀로지,402030,20250604,32890,0.29922970570807816,0.3819327731092437,0.3568481848184819,10.485178731969283,404.3861679,8.202193547354153,32890,1.0,1.0,65.97651047342293,True,True,True,True,True,True,True,False,4,5,0.10255396777135917,0.2511401641836424,0.2511401641836424,0.3819093949528731,0.3819093949528731,
대상홀딩스,084690,20250404,14010,0.15308641975308634,0.15594059405940586,0.23544973544973535,11.76350262551547,1247.6786229,10.18296211755892,15180,0.9229249011857708,0.9229249011857708,60.064935064935064,True,True,True,False,True,True,False,True,3,4,0.18843683083511786,0.2048536759457531,0.2048536759457531,0.2048536759457531,0.2048536759457531,
부산산업,011390,20250429,96400,0.15449101796407194,0.10423825887743421,0.353932584269663,9.242947599580715,123.691804,7.780801925932065,99900,0.964964964964965,0.964964964964965,72.35023041474655,True,True,True,False,True,True,False,True,3,4,-0.025933609958506243,0.045643153526971014,0.051867219917012486,0.06431535269709543,0.1887966804979253,
한전산업,130660,20260204,16100,0.20508982035928147,0.12587412587412583,0.5421455938697317,18.75817823726247,1687.761229,16.63989134667069,17340,0.9284890426758939,0.9284890426758939,75.0,True,True,True,False,True,True,False,True,3,4,0.08819875776397512,0.31677018633540377,0.5931677018633541,0.5931677018633541,0.5931677018633541,
NAVER,035420,20250618,243500,0.17917675544794198,0.21144278606965172,0.31337648327939593,10.17441168428653,13896.250365,8.369427754825173,244500,0.9959100204498977,0.9959100204498977,88.51612903225806,True,True,True,False,True,True,True,True,4,4,0.03490759753593431,0.19301848049281323,0.19301848049281323,0.19301848049281323,0.19301848049281323,
NHN KCP,060250,20250609,9100,0.1681643132220796,0.19579500657030224,0.1757105943152455,20.95056512723606,186.407403,18.864622909317458,9200,0.9891304347826086,0.9891304347826086,77.91164658634538,True,True,True,False,True,True,True,True,4,4,0.0,0.00879120879120876,0.3571428571428572,0.4483516483516483,0.9538461538461538,
NHN KCP,060250,20250618,10730,0.17396061269146612,0.1701199563794984,0.42496679946879157,29.21959693010192,735.1731391,25.88431513614114,10860,0.9880294659300184,0.9880294659300184,90.86538461538461,True,True,True,False,True,True,True,True,4,4,0.09040074557315947,0.22833178005591792,0.22833178005591792,0.657036346691519,0.6915191053122087,
